Time,Central,Tipo Central,Generacion_MWh,Tecnologia,Clasificacion,Codigo Central
2017-08-01T08:00:00Z,Solar PSF Pama,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar PSF Pama
2017-08-01T09:00:00Z,Solar PSF Pama,Solar,"0,06",Solar Fotovoltaica,ERNC,Solar PSF Pama
2017-08-01T10:00:00Z,Solar PSF Pama,Solar,"0,32",Solar Fotovoltaica,ERNC,Solar PSF Pama
2017-08-01T11:00:00Z,Solar PSF Pama,Solar,"0,23",Solar Fotovoltaica,ERNC,Solar PSF Pama
2017-08-01T12:00:00Z,Solar PSF Pama,Solar,"0,14",Solar Fotovoltaica,ERNC,Solar PSF Pama
2017-08-01T13:00:00Z,Solar PSF Pama,Solar,"0,24",Solar Fotovoltaica,ERNC,Solar PSF Pama
2017-08-01T14:00:00Z,Solar PSF Pama,Solar,"0,49",Solar Fotovoltaica,ERNC,Solar PSF Pama
2017-08-01T15:00:00Z,Solar PSF Pama,Solar,"1,36",Solar Fotovoltaica,ERNC,Solar PSF Pama
2017-08-01T16:00:00Z,Solar PSF Pama,Solar,"0,31",Solar Fotovoltaica,ERNC,Solar PSF Pama
2017-08-01T17:00:00Z,Solar PSF Pama,Solar,"0,24",Solar Fotovoltaica,ERNC,Solar PSF Pama
2017-08-01T18:00:00Z,Solar PSF Pama,Solar,"0,07",Solar Fotovoltaica,ERNC,Solar PSF Pama
2017-08-01T19:00:00Z,Solar PSF Pama,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar PSF Pama
2017-08-01T20:00:00Z,Solar PSF Pama,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar PSF Pama
2017-08-01T21:00:00Z,Solar PSF Pama,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar PSF Pama
2017-08-01T22:00:00Z,Solar PSF Pama,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar PSF Pama
2017-08-01T23:00:00Z,Solar PSF Pama,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar PSF Pama
2017-08-02T00:00:00Z,Solar PSF Pama,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar PSF Pama
2017-08-01T01:00:00Z,Solar PSF Lomas Coloradas,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar PSF Lomas Coloradas
2017-08-01T02:00:00Z,Solar PSF Lomas Coloradas,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar PSF Lomas Coloradas
2017-08-01T03:00:00Z,Solar PSF Lomas Coloradas,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar PSF Lomas Coloradas
2017-08-01T04:00:00Z,Solar PSF Lomas Coloradas,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar PSF Lomas Coloradas
2017-08-01T05:00:00Z,Solar PSF Lomas Coloradas,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar PSF Lomas Coloradas
2017-08-01T06:00:00Z,Solar PSF Lomas Coloradas,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar PSF Lomas Coloradas
2017-08-01T07:00:00Z,Solar PSF Lomas Coloradas,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar PSF Lomas Coloradas
2017-08-01T08:00:00Z,Solar PSF Lomas Coloradas,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar PSF Lomas Coloradas
2017-08-01T09:00:00Z,Solar PSF Lomas Coloradas,Solar,"0,06",Solar Fotovoltaica,ERNC,Solar PSF Lomas Coloradas
